[Parsed_ebur128_0 @ 0x65097e979840] t: 9.59998    TARGET:-23 LUFS    M: -21.6 S: -24.1     I: -27.5 LUFS       LRA:   7.9 LU  FTPK: -20.1 -20.3 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.69998    TARGET:-23 LUFS    M: -22.9 S: -24.1     I: -27.4 LUFS       LRA:   8.0 LU  FTPK: -40.4 -39.9 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.79998    TARGET:-23 LUFS    M: -26.1 S: -24.1     I: -27.4 LUFS       LRA:   8.1 LU  FTPK: -21.7 -22.0 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.89998    TARGET:-23 LUFS    M: -25.4 S: -23.9     I: -27.4 LUFS       LRA:   8.1 LU  FTPK: -17.2 -17.2 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 9.99998    TARGET:-23 LUFS    M: -24.3 S: -24.1     I: -27.3 LUFS       LRA:   8.1 LU  FTPK: -17.3 -17.3 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.1       TARGET:-23 LUFS    M: -23.7 S: -24.1     I: -27.2 LUFS       LRA:   8.1 LU  FTPK: -17.3 -17.3 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.2       TARGET:-23 LUFS    M: -23.7 S: -24.2     I: -27.2 LUFS       LRA:   8.1 LU  FTPK: -25.3 -24.8 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.3       TARGET:-23 LUFS    M: -24.9 S: -24.1     I: -27.2 LUFS       LRA:   8.1 LU  FTPK: -17.5 -17.6 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.4       TARGET:-23 LUFS    M: -24.7 S: -24.0     I: -27.1 LUFS       LRA:   8.1 LU  FTPK: -18.4 -19.0 dBFS  TPK: -17.0 -17.1 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.5       TARGET:-23 LUFS    M: -23.9 S: -23.8     I: -27.1 LUFS       LRA:   8.1 LU  FTPK: -17.0 -16.9 dBFS  TPK: -17.0 -16.9 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.6       TARGET:-23 LUFS    M: -24.1 S: -23.8     I: -27.0 LUFS       LRA:   8.1 LU  FTPK: -21.8 -21.9 dBFS  TPK: -17.0 -16.9 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.7       TARGET:-23 LUFS    M: -26.1 S: -23.8     I: -27.0 LUFS       LRA:   8.2 LU  FTPK: -38.0 -39.0 dBFS  TPK: -17.0 -16.9 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 10.8       TARGET:-23 LUFS    M: -28.8 S: -23.8     I: -27.0 LUFS       LRA:   8.4 LU  FTPK: -38.2 -38.4 dBFS  TPK: -17.0 -16.9 dBFS
